Source_1,Target_1,Weight,Source,Target
252,2179,5,Mountain States Mutual Casualty Co ,BITCO Insurance Company            
4,26,1363,FFIC - Fireman`s Fund Insurance Co ,Great American Insurance Company   
427,27,748,Oregon Mutual Insurance Co         ,Allied Insurance                   
1073,150,446,Grange Mutual Casualty Company     ,Motorists Insurance Companies      
36,1395,173,Employers Mutual Casualty          ,Catlin Specialty Insurance Company 
312,1154,72,Acuity                             ,Michigan Insurance Company         
169,1219,67,Capitol Indemnity Corporation      ,IAT Group                          
27,1010,1587,Allied Insurance                   ,State Automobile Mutual Ins.       
341,2651,12,American Home Assurance Co.        ,Endurance American Specialty Ins Co
27,13,749,Allied Insurance                   ,Erie Insurance Group               
1157,26,168,Tower Insurance Company of NY      ,Great American Insurance Company   
169,2190,111,Capitol Indemnity Corporation      ,AmTrust Group                      
1010,178,52,State Automobile Mutual Ins.       ,Andover Insurance Company          
1042,487,100,Union Mutual Insurance Co.         ,Mapfre USA                         
36,174,228,Employers Mutual Casualty          ,E&S / Specialty                    
118,134,351,West Bend Mutual Insurance Company ,Federated Insurance Group          
396,1372,685,"The Hanover Insurance Group, Inc.  ",Guard Insurance Group              
169,90,82,Capitol Indemnity Corporation      ,Allstate Insurance Company         
381,1042,89,Arbella Protection Ins Co          ,Union Mutual Insurance Co.         
1185,27,1233,General Casualty WI (and/or Regent),Allied Insurance                   
66,27,318,Central Mutual Insurance Co.       ,Allied Insurance                   
1157,174,108,Tower Insurance Company of NY      ,E&S / Specialty                    
27,63,812,Allied Insurance                   ,Westfield Companies                
150,104,14,Motorists Insurance Companies      ,Vermont Mutual Insurance Co        
2190,53,577,AmTrust Group                      ,Harleysville Insurance Company     
1184,1010,252,Argonaut Group                     ,State Automobile Mutual Ins.       
326,1157,67,Praetorian Insurance Company       ,Tower Insurance Company of NY      
1010,2406,7,State Automobile Mutual Ins.       ,Brit US                            
318,341,3,Safety Insurance Company           ,American Home Assurance Co.        
53,360,166,Harleysville Insurance Company     ,Magna Carta Companies              
1010,1302,24,State Automobile Mutual Ins.       ,General Star National Insurance Co 
114,1218,6,Merchants Insurance Group          ,Colony Insurance Company           
118,312,751,West Bend Mutual Insurance Company ,Acuity                             
140,150,125,"Secura, A Mutual Co.               ",Motorists Insurance Companies      
77,1072,34,State Farm Fire & Casualty Co.     ,AXIS Insurance Company             
312,2110,4,Acuity                             ,Munich Re - Surplus                
53,1042,308,Harleysville Insurance Company     ,Union Mutual Insurance Co.         
1110,27,18,Alaska National Insurance Company  ,Allied Insurance                   
2237,2190,1,Kensington Insurance Company       ,AmTrust Group                      
1372,96,223,Guard Insurance Group              ,Nationwide Insurance Co            
381,360,129,Arbella Protection Ins Co          ,Magna Carta Companies              
4,174,169,FFIC - Fireman`s Fund Insurance Co ,E&S / Specialty                    
4,2242,19,FFIC - Fireman`s Fund Insurance Co ,Western World Insurance Group      
2114,36,6,Munich SID Alt Market Risks - AAIC ,Employers Mutual Casualty          
118,462,133,West Bend Mutual Insurance Company ,IMT Insurance Company              
53,118,338,Harleysville Insurance Company     ,West Bend Mutual Insurance Company 
36,2242,48,Employers Mutual Casualty          ,Western World Insurance Group      
1042,1325,266,Union Mutual Insurance Co.         ,Co-Operative Insurance Companies   
178,382,10,Andover Insurance Company          ,Hudson Insurance Company           
77,1372,875,State Farm Fire & Casualty Co.     ,Guard Insurance Group              
310,312,10,Sequoia Insurance Company          ,Acuity                             
169,1469,76,Capitol Indemnity Corporation      ,"Munich Reinsurance America, Inc    "
134,1129,70,Federated Insurance Group          ,OneBeacon                          
1073,114,85,Grange Mutual Casualty Company     ,Merchants Insurance Group          
140,344,76,"Secura, A Mutual Co.               ",Farm Bureau Mutual Ins Co of Mich  
399,150,24,Western National Insurance Group   ,Motorists Insurance Companies      
36,26,140,Employers Mutual Casualty          ,Great American Insurance Company   
13,1227,157,Erie Insurance Group               ,Western Reserve Mutual Casualty    
63,1227,108,Westfield Companies                ,Western Reserve Mutual Casualty    
207,13,16,First Nonprofit Insurance Co.      ,Erie Insurance Group               
306,1117,1,Farmland-Nationwide Agribusiness   ,Trident Insurance Services         
2318,54,46,Starr Indemnity and Liability Co   ,Selective Insurance Group          
1184,13,145,Argonaut Group                     ,Erie Insurance Group               
90,53,102,Allstate Insurance Company         ,Harleysville Insurance Company     
26,2455,4,Great American Insurance Company   ,Inter Hannover                     
1010,1227,186,State Automobile Mutual Ins.       ,Western Reserve Mutual Casualty    
96,418,46,Nationwide Insurance Co            ,Concord General Mutual Insurance Co
384,1073,59,Grinnell Mutual Reinsurance Co     ,Grange Mutual Casualty Company     
1434,13,31,SPARTA Insurance                   ,Erie Insurance Group               
326,36,42,Praetorian Insurance Company       ,Employers Mutual Casualty          
1036,1372,74,Everest National Insurance Company ,Guard Insurance Group              
120,416,116,Frankenmuth Mutual Insurance Co.   ,Fremont Insurance Company          
53,1117,12,Harleysville Insurance Company     ,Trident Insurance Services         
1182,2242,14,Financial Pacific Insurance Co     ,Western World Insurance Group      
299,114,41,Mercer Insurance Group             ,Merchants Insurance Group          
427,383,28,Oregon Mutual Insurance Co         ,Badger Mutual Insurance Co         
1157,1345,86,Tower Insurance Company of NY      ,Kingstone Insurance Company EBHO   
396,1072,54,"The Hanover Insurance Group, Inc.  ",AXIS Insurance Company             
326,4,22,Praetorian Insurance Company       ,FFIC - Fireman`s Fund Insurance Co 
384,399,52,Grinnell Mutual Reinsurance Co     ,Western National Insurance Group   
360,487,16,Magna Carta Companies              ,Mapfre USA                         
341,51,7,American Home Assurance Co.        ,Penn National Insurance Company    
1218,145,61,Colony Insurance Company           ,Lexington Risk Specialists         
13,178,91,Erie Insurance Group               ,Andover Insurance Company          
116,27,121,Pekin Insurance Company            ,Allied Insurance                   
134,1179,43,Federated Insurance Group          ,Republic Underwriters Insurance Co 
1302,169,19,General Star National Insurance Co ,Capitol Indemnity Corporation      
140,114,30,"Secura, A Mutual Co.               ",Merchants Insurance Group          
1374,341,41,American European Insurance Company,American Home Assurance Co.        
1157,2242,63,Tower Insurance Company of NY      ,Western World Insurance Group      
360,312,3,Magna Carta Companies              ,Acuity                             
2190,331,39,AmTrust Group                      ,Preferred Mutual Insurance Company 
96,120,198,Nationwide Insurance Co            ,Frankenmuth Mutual Insurance Co.   
331,1042,39,Preferred Mutual Insurance Company ,Union Mutual Insurance Co.         
51,1185,60,Penn National Insurance Company    ,General Casualty WI (and/or Regent)
2166,26,49,Crum and Forster Insurance Company ,Great American Insurance Company   
383,13,57,Badger Mutual Insurance Co         ,Erie Insurance Group               
339,54,29,RLI Insurance Company              ,Selective Insurance Group          
2166,174,17,Crum and Forster Insurance Company ,E&S / Specialty                    
370,174,2,Rockford Mutual Insurance Company  ,E&S / Specialty                    
111,2190,56,Donegal Mutual Insurance Company   ,AmTrust Group                      
96,1374,83,Nationwide Insurance Co            ,American European Insurance Company
2339,36,95,Markel Insurance Company           ,Employers Mutual Casualty          
27,146,2,Allied Insurance                   ,Commonwealth Insurance Company     
111,90,99,Donegal Mutual Insurance Company   ,Allstate Insurance Company         
96,293,25,Nationwide Insurance Co            ,ALFA Alliance Insurance Corporation
378,396,5,Hingham Mutual Fire Insurance Co   ,"The Hanover Insurance Group, Inc.  "
383,1010,30,Badger Mutual Insurance Co         ,State Automobile Mutual Ins.       
2651,402,6,Endurance American Specialty Ins Co,Utica First Insurance Company      
63,178,9,Westfield Companies                ,Andover Insurance Company          
2106,169,13,Maxum Indemnity Company            ,Capitol Indemnity Corporation      
134,363,9,Federated Insurance Group          ,MMG Insurance Company              
114,104,65,Merchants Insurance Group          ,Vermont Mutual Insurance Co        
2443,54,28,United Methodist Insurance Company ,Selective Insurance Group          
1182,174,8,Financial Pacific Insurance Co     ,E&S / Specialty                    
2190,1326,25,AmTrust Group                      ,Contractors Bonding and Ins Company
1073,344,46,Grange Mutual Casualty Company     ,Farm Bureau Mutual Ins Co of Mich  
54,1333,9,Selective Insurance Group          ,The Dentists Insurance Company     
1182,1395,1,Financial Pacific Insurance Co     ,Catlin Specialty Insurance Company 
51,402,29,Penn National Insurance Company    ,Utica First Insurance Company      
1325,363,33,Co-Operative Insurance Companies   ,MMG Insurance Company              
2455,77,11,Inter Hannover                     ,State Farm Fire & Casualty Co.     
54,339,65,Selective Insurance Group          ,RLI Insurance Company              
51,66,71,Penn National Insurance Company    ,Central Mutual Insurance Co.       
63,1302,4,Westfield Companies                ,General Star National Insurance Co 
145,1073,23,Lexington Risk Specialists         ,Grange Mutual Casualty Company     
2058,1218,45,"Canopius US Insurance, Inc (Omega) ",Colony Insurance Company           
382,1219,14,Hudson Insurance Company           ,IAT Group                          
1179,141,2,Republic Underwriters Insurance Co ,New Hampshire Insurance Company    
1434,1010,16,SPARTA Insurance                   ,State Automobile Mutual Ins.       
1185,1184,24,General Casualty WI (and/or Regent),Argonaut Group                     
1469,53,33,"Munich Reinsurance America, Inc    ",Harleysville Insurance Company     
207,146,1,First Nonprofit Insurance Co.      ,Commonwealth Insurance Company     
350,169,21,Unigard Insurance Company          ,Capitol Indemnity Corporation      
118,1100,13,West Bend Mutual Insurance Company ,Austin Mutual Insurance Group      
1184,63,64,Argonaut Group                     ,Westfield Companies                
3615,306,6,Zurich Direct                      ,Farmland-Nationwide Agribusiness   
54,210,62,Selective Insurance Group          ,Mutual Benefit Insurance Company   
210,54,52,Mutual Benefit Insurance Company   ,Selective Insurance Group          
2190,181,34,AmTrust Group                      ,HDI Global Insurance Company       
1218,2653,6,Colony Insurance Company           ,Lloyd`s QBE Syndicate 1886         
1184,2294,20,Argonaut Group                     ,Conifer Insurance Company          
2460,326,33,QBE Specialty Insurance Company    ,Praetorian Insurance Company       
2262,2190,39,Springfield Insurance Company      ,AmTrust Group                      
1072,96,9,AXIS Insurance Company             ,Nationwide Insurance Co            
116,383,22,Pekin Insurance Company            ,Badger Mutual Insurance Co         
306,118,6,Farmland-Nationwide Agribusiness   ,West Bend Mutual Insurance Company 
382,2190,31,Hudson Insurance Company           ,AmTrust Group                      
51,254,2,Penn National Insurance Company    ,Princeton Insurance Company        
1294,53,2,National Fire and Casualty Company ,Harleysville Insurance Company     
145,324,6,Lexington Risk Specialists         ,Western Heritage Insurance Company 
383,2294,32,Badger Mutual Insurance Co         ,Conifer Insurance Company          
1434,63,31,SPARTA Insurance                   ,Westfield Companies                
1129,326,17,OneBeacon                          ,Praetorian Insurance Company       
402,1184,24,Utica First Insurance Company      ,Argonaut Group                     
145,399,12,Lexington Risk Specialists         ,Western National Insurance Group   
54,2443,19,Selective Insurance Group          ,United Methodist Insurance Company 
104,145,3,Vermont Mutual Insurance Co        ,Lexington Risk Specialists         
226,1372,3,Ohio Mutual Insurance Group        ,Guard Insurance Group              
2459,51,22,QBE Insurance Corporation          ,Penn National Insurance Company    
1227,111,24,Western Reserve Mutual Casualty    ,Donegal Mutual Insurance Company   
1129,2339,7,OneBeacon                          ,Markel Insurance Company           
2119,2106,5,Lloyd`s Brit                       ,Maxum Indemnity Company            
2190,306,4,AmTrust Group                      ,Farmland-Nationwide Agribusiness   
150,1218,3,Motorists Insurance Companies      ,Colony Insurance Company           
384,140,60,Grinnell Mutual Reinsurance Co     ,"Secura, A Mutual Co.               "
1185,207,17,General Casualty WI (and/or Regent),First Nonprofit Insurance Co.      
1010,2106,7,State Automobile Mutual Ins.       ,Maxum Indemnity Company            
145,1423,3,Lexington Risk Specialists         ,"XL Insurance America, Inc.         "
90,331,14,Allstate Insurance Company         ,Preferred Mutual Insurance Company 
2230,396,4,ProSight Specialty Insurance       ,"The Hanover Insurance Group, Inc.  "
27,361,5,Allied Insurance                   ,Colorado Farm Bureau Mutual Ins. Co
312,1129,15,Acuity                             ,OneBeacon                          
