client_1,client_2,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,total_mv
339,1051,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
1218,1218,0,0,0,0,0,0,0,91,1535,1515,1990,1753,2440,2787,12111
318,1133,0,0,0,0,0,0,0,2,8,7,12,15,2,0,46
2108,2058,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1133,1129,0,0,0,0,0,0,0,0,0,4,5,11,2,7,29
382,2119,0,0,0,0,0,0,0,0,0,1,1,6,1,0,9
150,116,0,0,0,0,0,0,0,12,66,49,57,72,37,37,330
402,1219,0,0,0,0,0,0,0,0,0,5,23,11,9,8,56
114,27,0,0,0,0,0,0,0,0,9,9,9,41,31,12,111
1133,197,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3
341,36,0,0,0,0,0,0,0,4,13,7,3,15,26,1,69
1073,140,0,0,0,0,0,0,0,5,15,36,27,20,17,27,147
384,13,0,0,0,0,0,0,0,8,33,30,33,16,14,4,138
26,1179,0,0,0,0,0,0,0,1,7,3,4,12,5,1,33
1157,1395,0,0,0,0,0,0,0,3,2,1,6,4,2,0,18
1185,1157,0,0,0,0,0,0,0,5,17,39,13,1,0,0,75
116,26,0,0,0,0,0,0,0,0,1,1,1,1,3,0,7
1157,344,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2058,1395,0,0,0,0,0,0,0,1,0,1,2,0,2,0,6
2079,396,0,0,0,0,0,0,0,6,8,10,22,13,23,24,106
207,174,0,0,0,0,0,0,0,1,3,4,1,0,0,0,9
360,360,0,0,0,0,0,0,0,92,5878,6207,6730,7111,1760,33,27811
1100,1100,0,0,0,0,0,0,0,47,3089,2944,3136,3522,3523,3102,19363
36,3373,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
1366,66,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3
114,1279,0,0,0,0,0,0,0,0,2,0,2,2,1,0,7
3613,3613,0,0,0,0,0,0,0,0,0,0,0,73,57,6,136
299,299,0,0,0,0,0,0,9,78,3116,1896,0,0,0,0,5099
77,2210,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
1372,2110,0,0,0,0,0,0,0,0,0,0,1,0,0,10,11
145,2318,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
1301,2106,0,0,0,0,0,0,0,0,0,4,0,0,2,0,6
1301,150,0,0,0,0,0,0,0,0,2,2,1,0,0,1,6
141,1372,0,0,0,0,0,0,0,0,0,0,0,2,3,1,6
120,1035,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
1302,1026,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
1051,341,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
381,240,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
2294,2106,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2166,1133,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
27,3793,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1434,2181,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1434,2190,0,0,0,0,0,0,0,0,2,1,26,5,6,7,47
1073,406,0,0,0,0,0,0,0,0,0,14,0,6,3,0,23
118,90,0,0,0,0,0,0,0,0,3,12,15,11,5,1,47
1326,360,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
114,331,0,0,0,0,0,0,0,4,39,43,63,21,27,15,212
2242,2190,0,0,0,0,0,0,0,0,0,0,5,12,13,8,38
116,339,0,0,0,0,0,0,0,0,0,1,0,0,1,2,4
341,1395,0,0,0,0,0,0,0,2,1,3,1,1,4,0,12
2079,120,0,0,0,0,0,0,0,2,5,3,2,1,0,0,13
120,26,0,0,0,0,0,0,0,4,10,13,10,5,4,5,51
207,27,0,0,0,0,0,0,0,1,3,4,3,2,0,0,13
337,337,0,0,0,0,0,0,0,6,1000,1339,1298,1412,1454,1430,7939
318,1301,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1302,1133,0,0,0,0,0,0,0,0,1,0,2,1,2,0,6
13,1469,0,0,0,0,0,0,0,5,14,16,14,15,9,7,80
1010,2190,0,0,0,0,0,0,0,2,12,26,52,34,57,60,243
26,1010,0,0,0,0,0,0,0,7,9,8,9,19,9,19,80
114,82,0,0,0,0,0,0,0,0,3,1,1,0,1,1,7
360,382,0,0,0,0,0,0,0,0,0,0,3,2,11,17,33
169,197,0,0,0,0,0,0,0,4,1,2,1,1,0,0,9
341,53,0,0,0,0,0,0,0,26,62,60,88,184,139,116,675
402,54,0,0,0,0,0,0,0,13,24,24,19,33,30,20,163
2190,416,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
1469,1179,0,0,0,0,0,0,0,1,4,4,1,6,7,1,24
1301,324,0,0,0,0,0,0,0,0,0,20,3,1,0,0,24
111,4,0,0,0,0,0,0,0,5,3,2,4,2,0,0,16
427,360,0,0,0,0,0,0,0,1,2,6,3,2,0,0,14
1219,2049,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3615,406,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
1185,150,0,0,0,0,0,0,0,16,87,68,78,60,46,42,397
1073,331,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
1152,140,0,0,0,0,0,0,0,0,1,3,0,0,0,0,4
256,3499,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
384,339,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
344,368,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
27,1216,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
313,1372,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
27,77,0,0,0,0,0,0,0,336,956,944,961,1086,853,776,5912
1196,1196,0,0,0,0,0,0,0,30,495,7,0,0,0,0,532
2108,90,0,0,0,0,0,0,0,0,0,20,17,9,7,4,57
134,399,0,0,0,0,0,0,0,1,21,13,24,11,10,22,102
145,326,0,0,0,0,0,0,0,0,1,2,3,0,0,0,6
36,3615,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11
53,344,0,0,0,0,0,0,0,5,25,50,21,12,11,8,132
1071,96,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
13,141,0,0,0,0,0,0,0,0,2,3,5,4,1,0,15
240,396,0,0,0,0,0,0,0,0,6,3,8,11,4,0,32
54,2455,0,0,0,0,0,0,0,0,1,0,1,0,1,3,6
382,487,0,0,0,0,0,0,0,0,0,0,2,1,1,0,4
1185,53,0,0,0,0,0,0,0,39,114,133,238,97,29,28,678
174,134,0,0,0,0,0,0,0,1,12,22,19,9,8,13,84
36,51,0,0,0,0,0,0,0,16,73,79,71,71,77,65,452
141,399,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3
3885,3886,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1196,66,0,0,0,0,0,0,0,0,0,2,11,2,0,2,17
381,341,0,0,0,0,0,0,0,0,4,7,2,1,0,0,14
36,1179,0,0,0,0,0,0,0,13,43,49,52,36,36,18,247
111,339,0,0,0,0,0,0,0,0,1,5,5,4,5,3,23
150,121,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1110,399,0,0,0,0,0,0,0,0,5,4,49,69,35,22,184
384,1072,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2082,1129,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3
1072,51,0,0,0,0,0,0,0,0,0,3,5,1,0,0,9
111,118,0,0,0,0,0,0,0,6,16,44,11,19,29,29,154
382,2294,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
1073,382,0,0,0,0,0,0,0,0,1,2,2,1,0,0,6
256,1042,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
118,1072,0,0,0,0,0,0,0,0,0,2,2,3,3,4,14
2106,1345,0,0,0,0,0,0,0,0,0,0,11,0,1,0,12
1073,63,0,0,0,0,0,0,0,26,69,115,81,76,92,85,544
104,77,0,0,0,0,0,0,0,2,18,33,31,17,22,12,135
4,1423,0,0,0,0,0,0,0,1,5,0,0,0,0,0,6
402,1434,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
3170,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
384,306,0,0,0,0,0,0,0,0,2,2,1,2,4,0,11
336,26,0,0,0,0,0,0,0,0,6,0,2,2,1,1,12
1128,341,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
27,1301,0,0,0,0,0,0,0,1,1,0,5,2,0,1,10
181,178,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
1042,1157,0,0,0,0,0,0,0,2,22,17,15,3,0,0,59
3499,2181,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1266,150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
120,1434,0,0,0,0,0,0,0,1,1,2,1,0,0,0,5
462,51,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
169,1434,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1010,190,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19
318,363,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2039,2110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
341,370,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
178,1133,0,0,0,0,0,0,0,7,45,53,50,71,44,5,275
2106,2106,0,0,0,0,0,0,0,2,190,271,322,426,332,412,1955
1179,1184,0,0,0,0,0,0,0,2,3,1,1,2,1,1,11
96,382,0,0,0,0,0,0,0,0,1,1,1,12,5,10,30
174,1301,0,0,0,0,0,0,0,1,0,0,3,3,2,7,16
150,82,0,0,0,0,0,0,0,1,4,4,5,6,6,4,30
134,197,0,0,0,0,0,0,0,1,1,1,2,3,0,0,8
1110,3615,0,0,0,0,0,0,0,0,0,0,1,6,0,0,7
27,1179,0,0,0,0,0,0,0,5,28,23,18,38,15,15,142
1098,1469,0,0,0,0,0,0,0,0,1,0,2,4,2,0,9
1227,96,0,0,0,0,0,0,0,6,11,12,19,16,9,17,90
1185,96,0,0,0,0,0,0,0,19,38,61,86,48,78,38,368
1361,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
53,331,0,0,0,0,0,0,0,24,79,74,132,54,46,45,454
141,26,0,0,0,0,0,0,0,0,2,31,4,8,5,1,51
1469,178,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1051,150,0,0,0,0,0,0,0,0,6,2,5,11,3,1,28
1033,396,0,0,0,0,0,0,0,0,3,3,3,3,0,0,12
1196,1010,0,0,0,0,0,0,0,1,4,2,4,0,0,1,12
36,1302,0,0,0,0,0,0,0,1,4,4,1,1,4,8,23
1302,2294,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3
339,406,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1284,77,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
1033,1033,0,0,0,0,0,0,0,15,5664,6536,6809,7422,6307,5693,38446
1129,2082,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
427,383,0,0,0,0,0,0,0,0,0,2,3,11,8,4,28
141,51,0,0,0,0,0,0,0,0,0,1,2,0,1,1,5
381,2242,0,0,0,0,0,0,0,2,3,3,2,1,1,7,19
26,1098,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4
1294,1117,0,0,0,0,0,0,0,0,2,13,3,4,2,0,24
1129,1133,0,0,0,0,0,0,0,0,0,0,2,6,2,0,10
1010,51,0,0,0,0,0,0,0,10,66,98,80,55,43,36,388
2190,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
96,1036,0,0,0,0,0,0,0,0,0,0,0,2,2,1,5
1110,2179,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1301,53,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3
3384,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
57,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
313,1302,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
190,324,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
1179,2119,0,0,0,0,0,0,0,0,0,0,1,2,1,0,4
326,1100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
134,2459,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
27,150,0,0,0,0,0,0,0,16,75,75,55,71,70,57,419
2294,1133,0,0,0,0,0,0,0,0,0,0,3,2,0,0,5
26,1072,0,0,0,0,0,0,0,1,1,1,5,7,2,21,38
324,1302,0,0,0,0,0,0,0,0,0,0,16,7,7,3,33
4,310,0,0,0,0,0,0,0,10,43,0,0,0,0,0,53
140,53,0,0,0,0,0,0,0,0,18,13,20,17,13,7,88
146,1157,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
207,4,0,0,0,0,0,0,0,0,0,1,1,1,0,1,4
57,77,0,0,0,0,0,0,0,0,2,1,2,2,2,2,11
96,1184,0,0,0,0,0,0,0,4,27,13,7,4,4,0,59
1157,312,0,0,0,0,0,0,0,0,0,5,3,3,1,0,12
360,77,0,0,0,0,0,0,0,6,28,19,17,16,19,13,118
116,341,0,0,0,0,0,0,0,0,1,2,4,1,0,1,9
324,96,0,0,0,0,0,0,0,0,0,2,7,9,8,3,29
252,63,0,0,0,0,0,0,0,0,22,18,8,17,10,4,79
1010,197,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3
396,1100,0,0,0,0,0,0,0,0,2,3,3,3,2,4,17
2459,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
487,1374,0,0,0,0,0,0,0,1,5,5,11,3,4,2,31
118,1227,0,0,0,0,0,0,0,0,2,2,1,5,36,6,52
396,336,0,0,0,0,0,0,0,2,5,4,7,4,0,4,26
240,36,0,0,0,0,0,0,0,0,3,4,3,3,0,0,13
2294,1154,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1395,27,0,0,0,0,0,0,0,0,2,2,2,5,8,8,27
384,382,0,0,0,0,0,0,0,0,2,1,0,1,0,0,4
1157,63,0,0,0,0,0,0,0,1,3,3,2,0,0,0,9
1423,27,0,0,0,0,0,0,0,1,9,0,1,12,11,3,37
1026,134,0,0,0,0,0,0,0,0,0,0,1,1,1,4,7
256,1154,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
63,210,0,0,0,0,0,0,0,1,4,3,4,2,1,0,15
1227,341,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4
299,26,0,0,0,0,0,0,0,1,0,1,0,1,2,0,5
1051,96,0,0,0,0,0,0,0,4,5,3,10,7,4,0,33
26,51,0,0,0,0,0,0,0,6,9,5,8,5,3,6,42
1423,13,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3
134,368,0,0,0,0,0,0,0,1,33,33,27,48,59,41,242
134,341,0,0,0,0,0,0,0,3,7,2,2,2,5,0,21
1469,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1154,1434,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
306,26,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6
1302,1036,0,0,0,0,0,0,0,0,1,0,4,15,7,0,27
2460,26,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3
63,1133,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3
190,181,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1185,1302,0,0,0,0,0,0,0,0,0,1,1,0,12,2,16
1219,363,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4
1434,145,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
1372,1218,0,0,0,0,0,0,0,0,0,2,1,1,5,7,16
1100,1026,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1219,427,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
1129,209,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3373,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1185,462,0,0,0,0,0,0,0,0,2,45,22,32,24,45,170
77,190,0,0,0,0,0,0,0,2,2,3,2,0,1,11,21
90,2049,0,0,0,0,0,0,0,0,1,0,2,2,3,2,10
178,396,0,0,0,0,0,0,0,23,55,46,49,53,44,39,309
1100,53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
181,402,0,0,0,0,0,0,0,0,0,0,0,4,4,8,16
399,396,0,0,0,0,0,0,0,1,5,11,15,13,21,19,85
169,1326,0,0,0,0,0,0,0,1,2,3,4,11,7,3,31
378,2119,0,0,0,0,0,0,0,0,0,1,1,2,0,0,4
1301,2058,0,0,0,0,0,0,0,0,1,1,0,2,2,1,7
384,2190,0,0,0,0,0,0,0,0,2,2,8,1,0,1,14
1469,4070,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
120,54,0,0,0,0,0,0,0,31,169,171,173,127,133,96,900
1434,1301,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
487,1042,0,0,0,0,0,0,0,2,18,24,16,11,15,11,97
174,299,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3
1100,383,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3
120,2402,0,0,0,0,0,0,0,0,1,0,2,1,5,1,10
2190,77,0,0,0,0,0,0,0,3,27,46,71,151,161,174,633
2166,1266,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
1395,114,0,0,0,0,0,0,0,1,1,0,0,0,0,2,4
1010,114,0,0,0,0,0,0,0,0,7,12,14,12,8,9,62
1395,324,0,0,0,0,0,0,0,0,0,10,3,1,0,1,15
1026,396,0,0,0,0,0,0,0,2,4,5,5,3,2,2,23
383,134,0,0,0,0,0,0,0,1,0,2,1,2,1,1,8
26,2079,0,0,0,0,0,0,0,1,0,0,5,1,1,1,9
402,2242,0,0,0,0,0,0,0,0,1,5,7,0,4,13,30
53,3373,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
1042,114,0,0,0,0,0,0,0,5,21,14,13,11,8,5,77
96,1153,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3
2455,118,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
145,2110,0,0,0,0,0,0,0,0,0,5,1,3,7,0,16
2459,114,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2443,145,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
36,1434,0,0,0,0,0,0,0,0,3,3,1,0,0,0,7
1184,2318,0,0,0,0,0,0,0,0,1,4,0,0,0,0,5
26,3685,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
116,114,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4
1100,341,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1395,2058,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1051,1051,0,0,0,0,0,0,0,268,4337,4591,8915,13686,13105,14037,58939
111,1185,0,0,0,0,0,0,0,6,25,19,17,10,9,9,95
2309,336,0,0,0,0,0,0,0,0,0,2,2,3,1,0,8
396,3886,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
169,1185,0,0,0,0,0,0,0,17,21,28,31,37,24,12,170
462,111,0,0,0,0,0,0,0,0,1,0,2,2,17,12,34
2110,90,0,0,0,0,0,0,0,0,0,1,3,1,0,0,5
1184,396,0,0,0,0,0,0,0,12,84,65,43,50,21,7,282
111,368,0,0,0,0,0,0,0,2,5,4,2,2,1,2,18
210,111,0,0,0,0,0,0,0,4,16,23,26,15,9,11,104
383,27,0,0,0,0,0,0,0,0,3,1,5,4,7,4,24
2651,341,0,0,0,0,0,0,0,0,0,0,0,1,5,5,11
2339,82,0,0,0,0,0,0,0,0,0,0,0,3,2,10,15
341,1184,0,0,0,0,0,0,0,0,0,1,1,0,12,409,423
317,1279,0,0,0,0,0,0,0,3,2,41,61,1,2,0,110
402,1129,0,0,0,0,0,0,0,0,0,5,19,15,14,9,62
1129,27,0,0,0,0,0,0,0,11,52,47,67,31,31,26,265
396,1010,0,0,0,0,0,0,0,28,225,272,288,239,187,184,1423
2049,90,0,0,0,0,0,0,0,0,0,1,1,1,2,0,5
402,1372,0,0,0,0,0,0,0,0,24,70,68,170,270,184,786
1042,36,0,0,0,0,0,0,0,2,6,6,8,8,4,4,38
1434,2110,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
1182,399,0,0,0,0,0,0,0,0,1,3,1,1,5,0,11
382,27,0,0,0,0,0,0,0,0,0,1,1,3,4,4,13
1469,1051,0,0,0,0,0,0,0,0,2,1,3,0,0,0,6
141,1469,0,0,0,0,0,0,0,0,7,3,4,5,1,2,22
226,2190,0,0,0,0,0,0,0,0,1,1,0,0,0,3,5
318,174,0,0,0,0,0,0,0,0,0,0,3,2,0,0,5
324,1072,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
114,53,0,0,0,0,0,0,0,30,150,167,222,188,124,71,952
90,2318,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
402,487,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3
4018,120,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
402,1361,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
306,174,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3
66,1218,0,0,0,0,0,0,0,0,1,1,2,0,0,0,4
1133,4085,0,0,0,0,0,0,0,0,0,0,0,0,0,76,76
36,399,0,0,0,0,0,0,0,4,51,70,65,52,46,52,340
77,26,0,0,0,0,0,0,0,30,50,86,158,120,86,72,602
114,418,0,0,0,0,0,0,0,1,6,5,4,14,41,36,107
396,1185,0,0,0,0,0,0,0,41,116,126,146,104,76,97,706
53,2294,0,0,0,0,0,0,0,0,0,6,7,1,0,1,15
1117,77,0,0,0,0,0,0,0,3,8,14,11,5,8,7,56
1073,210,0,0,0,0,0,0,0,1,0,0,0,1,1,1,4
190,1036,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
169,1279,0,0,0,0,0,0,0,1,2,5,13,13,3,4,41
90,2190,0,0,0,0,0,0,0,0,1,14,28,47,30,39,159
53,26,0,0,0,0,0,0,0,16,32,78,88,80,75,62,431
116,306,0,0,0,0,0,0,0,0,1,1,0,1,1,1,5
1372,51,0,0,0,0,0,0,0,0,0,10,19,18,17,21,85
1129,427,0,0,0,0,0,0,0,0,5,2,1,1,1,0,10
90,1154,0,0,0,0,0,0,0,0,0,1,1,2,0,2,6
2114,2443,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3
2190,2079,0,0,0,0,0,0,0,0,0,1,1,1,1,0,4
313,114,0,0,0,0,0,0,0,1,1,0,1,1,0,0,4
1185,1072,0,0,0,0,0,0,0,0,0,0,4,3,1,0,8
140,1154,0,0,0,0,0,0,0,2,3,5,4,6,4,3,27
299,360,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3
399,1185,0,0,0,0,0,0,0,6,12,12,16,11,12,6,75
